"name","num","m1","m1time","lp1","lp1time","l1","l1time","l2","l2time","lc1","lc1time","lc2","lc2time","lc3","lc3time","m2","m2time","m3","m3time","rcmax","rcmaxtime"
"roszieg",14,3.00893,0.00724101,12.0358,2.19345e-05,12.0357,2.59876e-05,13,0.000245094,12,6.19888e-06,7,4.05312e-06,10,4.05312e-06,13.27,0.00235009,16.375,0.0151789,12.0357,0.000339031
"roszieg",15,3.42308,0.00676608,13.6923,2.09808e-05,13.6923,2.21729e-05,14,0.000241041,14,5.00679e-06,9,2.86102e-06,11,3.8147e-06,15.0305,0.0021081,18.1114,0.0186169,13.6923,0.000315905
"roszieg",16,3.53571,0.00505805,14.1429,1.81198e-05,14.1429,2.00272e-05,15,0.000232935,14,5.00679e-06,9,2.86102e-06,12,5.00679e-06,15.4286,0.00205898,18.4021,0.0242729,14.1429,0.000349045
"roszieg",17,3.89738,0.00509501,15.5895,1.88351e-05,15.5895,2.28882e-05,16,0.000221968,15,5.00679e-06,10,3.09944e-06,12,4.05312e-06,15.9218,0.00194693,18.8538,0.016875,15.5895,0.000355959
"roszieg",18,3.02885,0.00709701,12.1053,1.69277e-05,12.1053,2.00272e-05,13,0.000226021,12,5.00679e-06,7,3.09944e-06,10,4.05312e-06,12.7895,0.00265908,16.1474,0.02069,12.1154,0.000394821
"roszieg",19,3.66667,0.00833702,14.6316,1.78814e-05,14.6316,1.90735e-05,15,0.000246048,14,5.96046e-06,8,3.09944e-06,11,4.05312e-06,15.1444,0.00181508,18.75,0.022197,14.6667,0.000322104
"roszieg",20,3,0.00665283,12,2.19345e-05,12,2.19345e-05,12,0.000308037,12,5.00679e-06,8,4.05312e-06,10,4.05312e-06,13.1528,0.00209594,16.6475,0.0173979,12,0.000388861
"roszieg",21,5.04327,0.00781894,20.1731,2.19345e-05,20.1731,2.28882e-05,21,0.000272036,20,7.86781e-06,13,2.86102e-06,16,4.05312e-06,20.9242,0.00378704,24.5065,0.0343239,20.1731,0.000387192
"roszieg",22,4.67776,0.006109,18.7111,2.40803e-05,18.7111,2.69413e-05,20,0.000268936,18,6.91414e-06,10,3.09944e-06,16,4.05312e-06,19.8416,0.00238395,22.0856,0.0183861,18.7111,0.0003829
"roszieg",23,5.32353,0.00598097,21.25,1.81198e-05,21.25,5.00679e-06,22,0.00026989,22,5.96046e-06,14,4.05312e-06,17,4.05312e-06,21.9594,0.00235009,23.9161,0.0366499,21.2941,0.000355959
"roszieg",24,5.13372,0.00649214,20.5349,2.71797e-05,20.5349,2.69413e-05,21,0.000279903,20,7.86781e-06,13,2.86102e-06,16,3.8147e-06,21.5245,0.00236297,25.0116,0.0226569,20.5349,0.000369072
"roszieg",25,3.7069,0.00818515,14.8276,1.90735e-05,14.8276,2.09808e-05,15,0.000276089,15,7.15256e-06,8,4.05312e-06,13,4.05312e-06,16.0667,0.00277996,20.9314,0.031589,14.8276,0.000386
"roszieg",26,4.45522,0.00813079,17.8209,2.09808e-05,17.8209,2.19345e-05,19,0.000258923,18,5.96046e-06,11,3.09944e-06,16,4.05312e-06,19.3269,0.00252986,22.3318,0.023998,17.8209,0.000350952
"roszieg",27,3.85188,0.00735497,15.4418,2.00272e-05,15.407,2.40803e-05,16,0.000231028,15,5.00679e-06,8,3.09944e-06,11,5.00679e-06,16.4527,0.00215793,19.3411,0.021208,15.4075,0.000379086
"roszieg",28,4.43256,0.0085361,17.7627,2.00272e-05,17.7302,2.09808e-05,19,0.000267029,18,5.00679e-06,12,2.86102e-06,16,5.00679e-06,19.2059,0.00265598,22.8333,0.0256569,17.7302,0.000368118
"roszieg",29,3.88806,0.00599718,15.5523,2.09808e-05,15.5522,2.21729e-05,17,0.000248909,16,4.76837e-06,10,2.86102e-06,13,3.8147e-06,17.5887,0.00192881,21.9768,0.0216379,15.5522,0.000337839
"roszieg",30,4.84146,0.00755811,19.3659,2.90871e-05,19.3659,3.00407e-05,20,0.000285864,19,5.96046e-06,11,3.09944e-06,18,5.00679e-06,21.2257,0.00264192,25.1523,0.0302629,19.3659,0.000360012
"roszieg",31,4.7069,0.00912595,18.8276,2.00272e-05,18.8276,2.00272e-05,19,0.000268936,19,5.00679e-06,12,3.09944e-06,15,4.05312e-06,19.7945,0.00302911,22.9355,0.0213232,18.8276,0.000420094
"roszieg",32,4.73658,0.0094111,18.9035,2.40803e-05,18.9033,2.38419e-05,20,0.000244856,18,5.00679e-06,12,2.86102e-06,16,4.05312e-06,21.0926,0.00373101,24.842,0.024178,18.9463,0.000349045
"roszieg",33,4.73944,0.00697184,18.9578,2.5034e-05,18.9578,2.69413e-05,20,0.000267029,19,5.00679e-06,10,4.05312e-06,16,4.05312e-06,21.2589,0.00241899,25.9802,0.028641,18.9578,0.0003829
"roszieg",34,4.65152,0.00600719,18.6212,2.5034e-05,18.6061,2.69413e-05,19,0.000252962,19,5.96046e-06,12,3.09944e-06,15,4.05312e-06,19.4437,0.00208187,23.1006,0.023417,18.6061,0.000334024
"roszieg",35,4.88147,0.00982618,19.525,2.09808e-05,19.525,2.21729e-05,20,0.000252962,19,5.00679e-06,11,2.86102e-06,17,5.00679e-06,20.6,0.00202608,24.7124,0.0207782,19.5259,0.000386953
"roszieg",36,4.675,0.00679016,18.7,1.71661e-05,18.7,2.00272e-05,20,0.000263929,18,5.96046e-06,11,2.86102e-06,16,4.05312e-06,20.7187,0.00212789,24.2794,0.022846,18.7,0.000405073
"roszieg",37,4.28067,0.00827813,17.1227,2.81334e-05,17.1227,2.90871e-05,18,0.000257969,16,5.96046e-06,10,3.09944e-06,15,4.05312e-06,18.3409,0.00218391,22.1819,0.024677,17.1227,0.000355959
"roszieg",38,4.55053,0.00639892,18.2022,2.09808e-05,18.2021,2.19345e-05,19,0.000258923,18,5.00679e-06,11,2.86102e-06,16,3.8147e-06,19.4286,0.00271106,23.3125,0.023174,18.2021,0.000353098
"roszieg",39,3.43182,0.00604677,13.7273,1.69277e-05,13.7273,2.09808e-05,14,0.000219107,14,6.19888e-06,8,3.09944e-06,12,5.00679e-06,14.5116,0.00324202,18.1374,0.020925,13.7273,0.000396967
